region,dataset,model_name,threshold,tp,fp,tn,fn,precision,recall,f1,weighted_cost_per_sample,weighted_cost_normalized,utility_profile,fn_weight,fp_weight,n_samples,positive_count,negative_count
nola,nola_pooled_pairwise,hgbt,0.36,40,40,1281,10,0.5000,0.8000,0.6154,0.065646,0.057288,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.37,40,39,1282,10,0.5063,0.8000,0.6202,0.064916,0.056652,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.38,40,38,1283,10,0.5128,0.8000,0.6250,0.064187,0.056015,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.39,39,37,1284,11,0.5132,0.7800,0.6190,0.067104,0.058561,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.40,39,37,1284,11,0.5132,0.7800,0.6190,0.067104,0.058561,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.41,39,36,1285,11,0.5200,0.7800,0.6240,0.066375,0.057925,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.42,38,35,1286,12,0.5205,0.7600,0.6179,0.069292,0.060471,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.43,38,34,1287,12,0.5278,0.7600,0.6230,0.068563,0.059835,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.44,37,33,1288,13,0.5286,0.7400,0.6167,0.071481,0.062381,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.45,37,33,1288,13,0.5286,0.7400,0.6167,0.071481,0.062381,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.46,37,33,1288,13,0.5286,0.7400,0.6167,0.071481,0.062381,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.47,37,31,1290,13,0.5441,0.7400,0.6271,0.070022,0.061108,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.48,36,30,1291,14,0.5455,0.7200,0.6207,0.072939,0.063654,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.49,36,29,1292,14,0.5538,0.7200,0.6261,0.072210,0.063017,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.50,35,29,1292,15,0.5469,0.7000,0.6140,0.075857,0.066200,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.51,35,29,1292,15,0.5469,0.7000,0.6140,0.075857,0.066200,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
